id_item,coluna,data_transicao
2865,New,2025-05-14T20:59:17.153Z
2865,Concluído,2025-05-14T21:07:17.4Z
2865,Concluído,2025-05-14T21:08:01.203Z
2865,Concluído,2025-05-14T21:13:26.493Z
2867,New,2025-05-14T21:04:24.017Z
2867,New,2025-05-14T21:05:37.147Z
2867,New,2025-05-14T21:05:37.517Z
2867,Approved,2025-05-14T21:05:41.837Z
2867,Approved,2025-05-14T21:05:42.493Z
2867,Approved,2025-05-14T21:05:54.007Z
2867,Approved,2025-05-14T21:09:22.37Z
2867,Concluído,2025-05-14T21:09:27.31Z
2867,Concluído,2025-05-14T21:13:29.73Z
2867,Concluído,2025-05-15T18:45:28.717Z
2896,New,2025-05-15T18:18:03.843Z
2896,New,2025-05-15T18:43:04.593Z
2896,New,2025-05-15T18:44:43Z
2896,New,2025-05-15T18:44:43.197Z
2374,New,2025-05-02T19:20:38.113Z
2374,New,2025-05-02T19:20:38.317Z
2374,New,2025-05-02T19:22:07.18Z
2374,New,2025-05-05T20:39:32.343Z
2374,New,2025-05-12T14:32:54.36Z
2374,New,2025-05-12T16:18:47.543Z
2374,New,2025-05-12T16:18:47.68Z
2618,New,2025-05-12T13:16:40.523Z
2618,New,2025-05-12T16:39:53.937Z
2618,New,2025-05-13T18:50:01.027Z
2618,New,2025-05-13T18:56:04.937Z
2618,New,2025-05-13T18:56:52.207Z
2618,New,2025-05-15T18:44:51.44Z
2618,New,2025-05-16T12:24:29.313Z
2618,New,2025-05-16T12:24:29.62Z
2733,New,2025-05-13T17:53:22.357Z
2733,New,2025-05-13T17:54:05.313Z
2733,New,2025-05-13T18:55:32.167Z
2733,New,2025-05-13T18:55:32.58Z
2617,New,2025-05-12T13:16:12.787Z
2617,New,2025-05-12T14:33:08.153Z
2617,New,2025-05-12T16:22:47.157Z
2617,New,2025-05-12T16:22:47.3Z
2617,Approved,2025-05-12T20:01:22.53Z
2617,Concluído,2025-05-12T20:01:33.73Z
2617,Concluído,2025-05-13T18:56:13.06Z
2617,Concluído,2025-05-13T20:15:21.667Z
2381,New,2025-05-02T19:32:36.133Z
2381,New,2025-05-02T19:32:36.38Z
2381,New,2025-05-02T19:34:27.037Z
2381,Approved,2025-05-12T16:17:17.183Z
2381,Approved,2025-05-13T18:47:14.267Z
2381,Approved,2025-05-13T19:30:56.803Z
2381,Approved,2025-05-13T19:32:17.163Z
2381,Approved,2025-05-13T19:33:21.36Z
2381,Approved,2025-05-13T19:33:50.91Z
2381,Approved,2025-05-13T19:34:14.433Z
2881,New,2025-05-15T12:29:00.72Z
2881,New,2025-05-15T12:30:21.227Z
2881,Committed,2025-05-15T17:59:37.407Z
2881,Approved,2025-05-15T18:44:05.27Z
2881,Approved,2025-05-15T18:44:05.647Z
2881,Approved,2025-05-16T12:25:04.517Z
2881,Approved,2025-05-16T12:25:10.85Z
2881,Concluído,2025-05-16T12:25:13.553Z
2389,New,2025-05-02T19:45:42.333Z
2389,New,2025-05-02T19:45:42.56Z
2389,New,2025-05-02T19:47:38.407Z
2389,New,2025-05-12T14:30:08.613Z
2389,New,2025-05-12T16:16:38.583Z
2389,New,2025-05-12T16:35:03.283Z
2389,New,2025-05-14T21:11:49.6Z
2389,New,2025-05-14T21:11:49.817Z
2389,New,2025-05-15T18:47:47.36Z
2389,New,2025-05-15T18:47:47.617Z
2389,Approved,2025-05-12T16:35:23.703Z
2389,Approved,2025-05-12T16:35:23.867Z
2389,Approved,2025-05-15T18:47:16.58Z
2389,Approved,2025-05-15T18:47:16.793Z
2389,Approved,2025-05-15T18:47:50.03Z
2389,Approved,2025-05-15T18:47:50.22Z
2389,Approved,2025-05-15T18:58:51.94Z
2375,New,2025-05-02T19:22:30.403Z
2375,New,2025-05-02T19:22:30.627Z
2375,New,2025-05-02T19:24:15.917Z
2375,New,2025-05-12T12:17:38.92Z
2375,New,2025-05-12T16:18:37.043Z
2375,New,2025-05-12T16:18:37.213Z
2375,Committed,2025-05-13T17:51:06.367Z
2375,Committed,2025-05-16T14:46:46.177Z
2375,Approved,2025-05-13T19:35:46.49Z
2375,Approved,2025-05-13T19:35:46.823Z
2375,Approved,2025-05-15T13:06:07.547Z
2375,Approved,2025-05-15T13:06:07.87Z
2375,Approved,2025-05-15T18:58:17.467Z
2375,Approved,2025-05-15T18:58:17.717Z
2375,Approved,2025-05-16T14:46:48.603Z
2375,Approved,2025-05-16T14:46:48.86Z
2577,New,2025-05-09T16:21:36.43Z
2577,New,2025-05-12T14:34:49.967Z
2577,New,2025-05-12T16:28:13.823Z
2577,New,2025-05-15T20:00:47.12Z
2577,New,2025-05-15T20:40:24.753Z
2577,New,2025-05-15T20:46:31.843Z
2387,New,2025-05-02T19:44:13.733Z
2387,New,2025-05-02T19:44:13.933Z
2387,New,2025-05-02T19:44:26.19Z
2387,New,2025-05-09T16:47:59.523Z
2387,New,2025-05-12T14:34:19.29Z
2387,New,2025-05-12T16:16:56.9Z
2387,New,2025-05-12T16:16:57.21Z
2387,New,2025-05-13T18:48:20.877Z
2387,New,2025-05-15T18:44:51.18Z
2387,New,2025-05-15T18:44:51.44Z
2489,New,2025-05-07T17:05:04.89Z
2489,New,2025-05-12T14:27:16.97Z
2489,Concluído,2025-05-12T16:26:50.06Z
2489,Concluído,2025-05-13T20:15:59.61Z
2532,New,2025-05-08T19:27:46.217Z
2532,New,2025-05-12T14:27:57.067Z
2532,Concluído,2025-05-12T16:27:24.61Z
2532,Concluído,2025-05-13T20:15:49.78Z
2575,New,2025-05-09T16:19:00.65Z
2575,New,2025-05-12T14:27:42.333Z
2575,Concluído,2025-05-12T16:27:47.723Z
2575,Concluído,2025-05-13T20:15:30.46Z
2575,Concluído,2025-05-13T20:16:31.63Z
2944,New,2025-05-16T18:13:42.8Z
2944,New,2025-05-16T18:46:20.477Z
2944,New,2025-05-16T18:48:31.28Z
